Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	2.510053	2.333513	0.000000	4.000000	
0.001000	2.439072	2.440600	7.000000	4.000000	
0.001000	2.491604	2.470551	2.000000	7.000000	
0.001000	2.433949	2.449567	6.000000	5.000000	
0.001000	2.409518	2.428136	9.000000	1.000000	
0.001000	2.420785	2.396179	8.000000	6.000000	
0.001000	2.390651	2.392646	6.000000	9.000000	
0.001000	2.393693	2.357046	5.000000	10.000000	
0.000999	2.363823	2.404686	8.000000	5.000000	
0.000999	2.265980	2.364173	16.000000	7.000000	
0.000999	2.289904	2.309915	11.000000	13.000000	
0.000999	2.257940	2.302788	13.000000	16.000000	
0.000999	2.283538	2.274344	17.000000	11.000000	
0.000998	2.308573	2.322501	15.000000	7.000000	
0.000998	2.257572	2.328387	15.000000	11.000000	
0.000998	2.234605	2.305228	22.000000	10.000000	
0.000997	2.210713	2.247602	24.000000	16.000000	
0.000997	2.218933	2.256750	18.000000	16.000000	
0.000997	2.180816	2.238902	21.000000	17.000000	
0.000996	2.225831	2.258867	22.000000	16.000000	
0.000996	2.206587	2.222497	21.000000	19.000000	
0.000996	2.143242	2.237238	28.000000	14.000000	
0.000995	2.185955	2.228240	20.000000	12.000000	
0.000995	2.159632	2.235818	27.000000	15.000000	
0.000994	2.126199	2.189917	28.000000	19.000000	
0.000994	2.161597	2.220386	24.000000	19.000000	
0.000993	2.118270	2.174648	32.000000	25.000000	
0.000993	2.107580	2.208495	28.000000	21.000000	
0.000992	2.085677	2.167995	37.000000	27.000000	
0.000992	2.089849	2.218259	34.000000	14.000000	
0.000991	2.065806	2.195171	33.000000	25.000000	
0.000991	2.051559	2.175509	38.000000	17.000000	
0.000990	2.060876	2.164927	32.000000	26.000000	
0.000989	2.050634	2.135617	41.000000	29.000000	
0.000989	2.034603	2.191198	40.000000	20.000000	
0.000988	2.102264	2.124554	27.000000	32.000000	
0.000987	2.090628	2.127788	30.000000	28.000000	
0.000987	2.079940	2.136315	28.000000	28.000000	
0.000986	2.005896	2.102739	39.000000	33.000000	
