Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.442509	1.352272	34.900002	35.000000	
0.001000	1.388373	1.345010	34.900002	35.000000	
0.001000	1.367051	1.373561	35.099998	35.000000	
0.000999	1.382703	1.363441	35.200001	35.000000	
0.000999	1.350505	1.334007	34.900002	35.400002	
0.000998	1.339088	1.324552	35.000000	34.900002	
0.000998	1.315212	1.303844	35.000000	35.700001	
0.000997	1.317836	1.343434	35.000000	35.000000	
0.000996	1.303130	1.285716	35.000000	34.900002	
0.000995	1.308824	1.291711	35.000000	35.099998	
0.000994	1.299529	1.295437	35.000000	35.000000	
0.000993	1.268338	1.264867	35.000000	35.000000	
0.000991	1.256523	1.279741	35.000000	35.000000	
0.000990	1.255924	1.273604	35.000000	35.000000	
0.000988	1.248395	1.243177	35.000000	35.000000	
0.000986	1.244760	1.233128	35.000000	35.000000	
0.000984	1.221879	1.244699	35.000000	35.000000	
0.000982	1.215501	1.214290	35.000000	35.000000	
0.000980	1.248759	1.229305	35.000000	35.000000	
0.000978	1.210236	1.225490	35.000000	35.000000	
0.000976	1.229180	1.223331	35.000000	35.000000	
0.000973	1.210135	1.231111	35.000000	35.000000	
0.000970	1.213927	1.208730	35.000000	35.000000	
0.000968	1.221589	1.176719	35.000000	35.000000	
0.000965	1.200591	1.201532	35.000000	35.000000	
0.000962	1.213674	1.212779	35.000000	35.000000	
0.000959	1.172149	1.202434	35.000000	35.000000	
0.000956	1.188979	1.195851	35.000000	35.000000	
0.000952	1.200590	1.190412	35.000000	35.000000	
0.000949	1.203351	1.187362	35.000000	35.000000	
0.000946	1.189396	1.196875	35.000000	35.000000	
0.000942	1.186680	1.186210	35.000000	35.000000	
0.000938	1.198533	1.172624	35.000000	35.000000	
0.000934	1.184198	1.179380	35.000000	35.000000	
0.000930	1.183540	1.193402	35.000000	35.000000	
0.000926	1.183564	1.182381	35.000000	35.000000	
0.000922	1.196346	1.197723	35.000000	35.000000	
0.000918	1.182762	1.171443	35.000000	35.000000	
0.000914	1.180639	1.175887	35.000000	35.000000	
0.000909	1.187307	1.173519	35.000000	35.000000	
0.000905	1.176903	1.166743	35.000000	35.000000	
0.000900	1.179875	1.166193	35.000000	35.000000	
0.000895	1.175890	1.177475	35.000000	35.000000	
0.000890	1.179549	1.179434	35.000000	35.000000	
0.000885	1.172271	1.178064	35.000000	35.000000	
0.000880	1.160567	1.173124	35.000000	35.000000	
0.000875	1.177149	1.164415	35.000000	35.000000	
0.000870	1.176231	1.167309	35.000000	35.000000	
0.000864	1.170445	1.171185	35.000000	35.000000	
0.000859	1.162788	1.167556	35.000000	35.000000	
0.000854	1.166051	1.161517	35.000000	35.000000	
0.000848	1.175435	1.170095	35.000000	35.000000	
0.000842	1.173688	1.170358	35.000000	35.000000	
0.000837	1.179620	1.169828	35.000000	35.000000	
0.000831	1.165699	1.183377	35.000000	35.000000	
0.000825	1.171585	1.167023	35.000000	35.000000	
0.000819	1.163007	1.175017	35.000000	35.000000	
0.000813	1.180791	1.171960	35.000000	35.000000	
0.000806	1.173855	1.158581	35.000000	35.000000	
0.000800	1.162717	1.164063	35.000000	35.000000	
0.000794	1.165053	1.158587	35.000000	35.000000	
0.000788	1.167718	1.174685	35.000000	35.000000	
0.000781	1.162035	1.167111	35.000000	35.000000	
0.000775	1.165835	1.165377	35.000000	35.000000	
0.000768	1.174555	1.160015	35.000000	35.000000	
0.000761	1.169518	1.163504	35.000000	35.000000	
0.000755	1.174098	1.171072	35.000000	35.000000	
0.000748	1.158120	1.160168	35.000000	35.000000	
0.000741	1.157524	1.176885	35.000000	35.000000	
