Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.969499	1.081205	56.888889	52.000000	
0.000976	0.970155	1.072914	56.777779	52.000000	
0.000905	0.934762	1.044131	57.555557	54.000004	
0.000794	0.917105	1.027327	58.666668	55.000000	
0.000655	0.892686	1.022952	59.555557	55.000000	
0.000500	0.911957	1.020332	58.666668	55.000000	
0.000346	0.904176	1.006506	58.444443	56.000000	
0.000206	0.853095	1.004783	61.888889	56.000000	
0.000096	0.854036	1.003398	61.444443	56.000000	
0.000025	0.857815	1.003037	61.111111	56.000000	
