Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.901045	0.944841	61.888889	68.000000	
0.001000	0.877492	0.935909	63.666668	68.000000	
0.001000	0.864867	0.927579	65.000000	68.000000	
0.000999	0.891182	0.929160	60.000000	67.000000	
0.000999	0.864761	0.921314	62.333332	67.000000	
0.000998	0.820712	0.913223	65.444443	67.000000	
0.000998	0.808896	0.884719	66.000000	69.000000	
0.000997	0.798213	0.886719	66.333336	68.000000	
0.000996	0.815905	0.880001	63.333332	68.000000	
0.000995	0.780937	0.872151	66.222221	68.000000	
0.000994	0.792632	0.864392	64.000000	68.000000	
0.000993	0.761267	0.847344	66.222221	69.000000	
0.000991	0.741962	0.837549	67.333336	69.000000	
0.000990	0.723726	0.825191	68.444443	69.000000	
0.000988	0.708518	0.804026	69.111115	70.000000	
0.000986	0.695738	0.784391	69.444443	71.000000	
0.000984	0.681322	0.785020	69.777779	70.000000	
0.000982	0.669035	0.774675	69.888885	70.000000	
0.000980	0.648499	0.768892	71.444443	69.000000	
0.000978	0.655523	0.766797	70.111115	68.000000	
0.000976	0.618574	0.765234	72.555557	67.000000	
0.000973	0.612394	0.749528	72.333336	68.000000	
0.000970	0.631589	0.724537	70.444443	69.000000	
0.000968	0.617391	0.721216	70.222221	68.000000	
0.000965	0.582114	0.730600	72.333336	66.000000	
0.000962	0.613717	0.705349	69.333336	68.000000	
0.000959	0.561633	0.690548	73.111115	69.000000	
0.000956	0.574670	0.694040	71.777779	68.000000	
0.000952	0.594729	0.679152	69.000000	69.000000	
0.000949	0.546312	0.687984	73.333336	68.000000	
0.000946	0.547583	0.710194	73.333336	65.000000	
0.000942	0.572925	0.712404	70.333336	64.000000	
0.000938	0.557332	0.718410	71.000000	63.000000	
0.000934	0.565795	0.709773	69.333336	63.000000	
0.000930	0.528085	0.680072	72.666664	66.000000	
0.000926	0.521574	0.668995	73.333336	68.000000	
0.000922	0.519608	0.668902	73.111115	67.000000	
0.000918	0.518494	0.677540	72.444443	65.000000	
0.000914	0.546941	0.695888	69.333336	63.000000	
0.000909	0.501574	0.687468	73.666664	64.000000	
0.000905	0.503488	0.642984	73.000000	68.000000	
0.000900	0.537394	0.664417	69.555557	66.000000	
0.000895	0.498146	0.667143	72.444443	66.000000	
0.000890	0.462124	0.647604	76.333336	68.000000	
0.000885	0.459786	0.627581	75.666664	69.000000	
0.000880	0.476244	0.625899	74.444443	70.000000	
0.000875	0.481216	0.621359	73.555557	70.000000	
0.000870	0.428036	0.629730	78.444443	69.000000	
0.000864	0.452727	0.600935	75.333336	71.000000	
0.000859	0.453499	0.592791	75.222221	72.000000	
0.000854	0.474034	0.542188	72.888885	76.000000	
0.000848	0.437258	0.553916	76.555557	74.000000	
0.000842	0.411329	0.591057	78.111115	69.000000	
0.000837	0.466496	0.584076	72.555557	67.000000	
0.000831	0.439970	0.587833	74.555557	66.000000	
0.000825	0.440452	0.592933	73.888885	65.000000	
0.000819	0.434824	0.570145	75.444443	67.000000	
0.000813	0.396844	0.517475	78.555557	72.000000	
