Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.802118	0.856211	71.111115	74.000000	
0.001000	0.761552	0.843181	72.888885	74.000000	
0.001000	0.767209	0.824955	72.000000	74.000000	
0.000999	0.744311	0.829425	73.222221	72.000000	
0.000999	0.719967	0.819484	73.333336	72.000000	
0.000998	0.722268	0.791095	74.111115	74.000000	
0.000998	0.701211	0.777022	73.555557	75.000000	
0.000997	0.703411	0.753340	74.333336	77.000000	
0.000996	0.703093	0.748346	73.444443	77.000000	
0.000995	0.658361	0.732923	76.333336	78.000000	
0.000994	0.648849	0.717698	77.888885	79.000000	
0.000993	0.642823	0.701200	77.444443	80.000000	
0.000991	0.610329	0.687694	78.555557	80.000000	
0.000990	0.626916	0.689577	77.222221	79.000000	
0.000988	0.600091	0.685213	78.000000	79.000000	
0.000986	0.618340	0.669676	74.555557	80.000000	
0.000984	0.585349	0.664522	77.333336	80.000000	
0.000982	0.592809	0.648118	78.000000	81.000000	
0.000980	0.586012	0.638494	78.333336	81.000000	
0.000978	0.572042	0.624231	77.333336	81.000000	
0.000976	0.579200	0.608381	75.444443	81.000000	
0.000973	0.571383	0.592968	76.333336	81.000000	
0.000970	0.554186	0.589813	76.000000	80.000000	
0.000968	0.533905	0.599405	78.222221	78.000000	
0.000965	0.501885	0.579551	80.111115	79.000000	
0.000962	0.502714	0.573175	78.666664	79.000000	
0.000959	0.466192	0.570588	81.333336	79.000000	
0.000956	0.474649	0.564550	80.222221	79.000000	
0.000952	0.458669	0.562507	81.000000	79.000000	
0.000949	0.451665	0.539717	81.333336	81.000000	
0.000946	0.440008	0.534472	81.666664	81.000000	
0.000942	0.430608	0.541554	81.111115	80.000000	
0.000938	0.423548	0.526531	82.666664	81.000000	
0.000934	0.428215	0.520994	80.555557	81.000000	
0.000930	0.434161	0.517664	80.444443	81.000000	
0.000926	0.410808	0.514500	82.444443	81.000000	
0.000922	0.406398	0.512496	83.000000	81.000000	
0.000918	0.408599	0.507605	82.222221	81.000000	
0.000914	0.378114	0.505113	84.333336	81.000000	
0.000909	0.404523	0.502923	81.333336	81.000000	
0.000905	0.404974	0.499879	81.555557	81.000000	
0.000900	0.388516	0.502960	82.444443	80.000000	
0.000895	0.392228	0.500853	81.555557	80.000000	
0.000890	0.392471	0.466076	81.555557	83.000000	
0.000885	0.397339	0.470463	81.888885	82.000000	
0.000880	0.380964	0.466287	82.777779	82.000000	
0.000875	0.370696	0.451717	82.888885	83.000000	
0.000870	0.352283	0.436289	84.000000	84.000000	
0.000864	0.361707	0.461418	83.444443	81.000000	
0.000859	0.381780	0.419931	82.111115	85.000000	
0.000854	0.350233	0.455017	83.888885	81.000000	
0.000848	0.346466	0.451735	84.222221	81.000000	
0.000842	0.346759	0.435932	84.222221	82.000000	
0.000837	0.354061	0.421665	83.222221	83.000000	
0.000831	0.381120	0.418823	80.444443	83.000000	
0.000825	0.356382	0.417004	82.555557	83.000000	
0.000819	0.333596	0.424175	84.222221	82.000000	
0.000813	0.324348	0.417225	84.444443	82.000000	
0.000806	0.354371	0.409142	81.888885	82.000000	
0.000800	0.325800	0.415637	84.222221	81.000000	
0.000794	0.329633	0.427530	84.222221	79.000000	
0.000788	0.359997	0.391290	80.888885	82.000000	
0.000781	0.340951	0.387048	81.666664	82.000000	
0.000775	0.335844	0.433899	82.666664	77.000000	
0.000768	0.325787	0.441349	82.777779	76.000000	
0.000761	0.332902	0.479037	82.222221	72.000000	
0.000755	0.341535	0.456167	80.777779	74.000000	
0.000748	0.319901	0.483397	82.222221	71.000000	
0.000741	0.332967	0.452750	80.444443	74.000000	
0.000734	0.293192	0.440100	83.888885	75.000000	
0.000727	0.361948	0.447141	77.777779	74.000000	
0.000720	0.350172	0.458408	77.666664	73.000000	
0.000713	0.278521	0.403387	84.555557	78.000000	
0.000706	0.309580	0.442575	82.111115	74.000000	
0.000699	0.336286	0.440554	78.111115	74.000000	
0.000691	0.295903	0.437646	82.666664	74.000000	
0.000684	0.278776	0.477178	84.666664	71.000000	
0.000677	0.365092	0.492079	76.444443	70.000000	
0.000669	0.312195	0.421628	80.777779	77.000000	
0.000662	0.295090	0.492480	82.888885	70.000000	
0.000655	0.345876	0.513399	77.444443	68.000000	
0.000647	0.342084	0.461879	78.444443	73.000000	
0.000640	0.279411	0.431057	83.888885	76.000000	
0.000632	0.270262	0.420494	85.000000	77.000000	
0.000624	0.276463	0.429789	84.111115	76.000000	
0.000617	0.279315	0.429418	84.000000	76.000000	
0.000609	0.297440	0.458839	82.111115	73.000000	
0.000601	0.314533	0.458250	79.888885	73.000000	
0.000594	0.326273	0.447545	78.777779	74.000000	
0.000586	0.300556	0.446876	81.666664	74.000000	
0.000578	0.296213	0.446818	81.777779	74.000000	
0.000570	0.292499	0.456588	82.222221	73.000000	
0.000563	0.323073	0.426851	79.666664	76.000000	
0.000555	0.285237	0.416525	82.333336	77.000000	
0.000547	0.295179	0.456790	82.555557	73.000000	
0.000539	0.306833	0.447165	81.555557	74.000000	
0.000531	0.318151	0.438468	80.111115	75.000000	
0.000524	0.338464	0.466102	77.555557	72.000000	
0.000516	0.343710	0.502495	78.333336	68.000000	
0.000508	0.371451	0.491589	74.444443	69.000000	
0.000500	0.358755	0.461853	75.666664	72.000000	
0.000492	0.313662	0.453873	79.666664	73.000000	
0.000484	0.290058	0.424231	82.666664	76.000000	
0.000476	0.255148	0.416113	86.222221	77.000000	
0.000469	0.285809	0.415862	83.000000	77.000000	
0.000461	0.264594	0.428621	84.888885	76.000000	
0.000453	0.255918	0.438171	86.111115	75.000000	
0.000445	0.318488	0.427365	79.222221	76.000000	
0.000437	0.295437	0.425156	81.555557	76.000000	
0.000430	0.258755	0.434926	85.444443	75.000000	
0.000422	0.275002	0.454077	84.000000	73.000000	
0.000414	0.312287	0.459643	79.777779	72.000000	
0.000406	0.324111	0.478662	78.666664	70.000000	
0.000399	0.295875	0.448233	81.111115	73.000000	
0.000391	0.288570	0.440265	82.888885	74.000000	
0.000383	0.275962	0.424453	83.777779	76.000000	
0.000376	0.282416	0.426356	83.222221	76.000000	
0.000368	0.285630	0.417983	82.666664	77.000000	
0.000361	0.282098	0.418854	82.444443	77.000000	
0.000353	0.274312	0.428449	83.777779	76.000000	
0.000346	0.306451	0.427971	80.555557	76.000000	
0.000338	0.283920	0.427677	82.555557	76.000000	
0.000331	0.318627	0.437369	79.888885	75.000000	
0.000323	0.309237	0.437518	79.888885	75.000000	
0.000316	0.262161	0.447658	84.777779	74.000000	
0.000309	0.294615	0.427816	81.666664	76.000000	
0.000301	0.294319	0.417812	81.777779	77.000000	
0.000294	0.285950	0.417396	82.777779	77.000000	
0.000287	0.312110	0.417262	80.222221	77.000000	
0.000280	0.301481	0.417145	80.666664	77.000000	
0.000273	0.292745	0.426967	82.000000	76.000000	
0.000266	0.328135	0.507434	78.333336	68.000000	
0.000259	0.352113	0.487099	76.555557	70.000000	
0.000252	0.303961	0.436775	80.333336	75.000000	
0.000246	0.286706	0.426876	82.555557	76.000000	
0.000239	0.254172	0.446852	85.444443	74.000000	
0.000232	0.307146	0.487078	80.222221	70.000000	
0.000226	0.373999	0.466844	73.333336	72.000000	
0.000219	0.327528	0.436714	78.222221	75.000000	
