Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.661937	1.509043	24.000000	24.000000	
0.001000	1.639853	1.594519	24.000000	24.000000	
0.001000	1.604445	1.619552	24.000000	24.000000	
0.000999	1.590396	1.564190	24.000000	24.000000	
0.000999	1.607888	1.542414	24.000000	24.000000	
0.000998	1.567634	1.547876	24.000000	24.000000	
0.000998	1.560182	1.522976	24.000000	24.200001	
0.000997	1.517848	1.485512	24.000000	24.000000	
0.000996	1.488919	1.465826	24.000000	24.000000	
0.000995	1.473942	1.485706	24.000000	24.600000	
0.000994	1.469095	1.451743	24.200001	24.100000	
0.000993	1.486259	1.428384	24.000000	24.100000	
0.000991	1.435312	1.410100	24.000000	24.100000	
0.000990	1.458216	1.419033	24.000000	24.200001	
0.000988	1.456652	1.378112	24.200001	23.900000	
0.000986	1.413246	1.412490	23.799999	24.400000	
0.000984	1.418169	1.356204	24.100000	24.000000	
0.000982	1.405592	1.387180	24.200001	23.799999	
0.000980	1.377356	1.340736	24.200001	24.100000	
0.000978	1.364785	1.336373	24.299999	25.100000	
0.000976	1.363217	1.331419	23.500000	23.900000	
0.000973	1.364795	1.345209	24.799999	24.299999	
0.000970	1.317518	1.343910	23.700001	23.700001	
0.000968	1.317807	1.321410	24.100000	25.000000	
0.000965	1.316116	1.300837	24.700001	25.400000	
0.000962	1.318279	1.270595	25.000000	23.700001	
0.000959	1.288054	1.283591	23.799999	24.299999	
0.000956	1.318654	1.279305	24.200001	24.299999	
0.000952	1.302609	1.298069	24.000000	24.700001	
0.000949	1.267791	1.288563	24.000000	24.900000	
0.000946	1.283178	1.275898	24.200001	25.900000	
0.000942	1.279080	1.272767	24.799999	24.799999	
0.000938	1.286110	1.242633	24.500000	24.200001	
0.000934	1.270648	1.247658	24.100000	24.700001	
0.000930	1.257441	1.244820	24.000000	23.700001	
0.000926	1.287056	1.267742	23.700001	24.900000	
0.000922	1.258599	1.238026	23.799999	24.799999	
0.000918	1.254579	1.226406	24.299999	24.299999	
0.000914	1.256859	1.232153	24.299999	24.799999	
0.000909	1.261630	1.243881	24.799999	23.799999	
0.000905	1.253695	1.224800	23.799999	24.900000	
0.000900	1.234794	1.207939	24.600000	26.200001	
0.000895	1.228395	1.228342	24.299999	24.600000	
0.000890	1.230255	1.237687	24.100000	26.200001	
0.000885	1.219092	1.219853	24.000000	24.299999	
0.000880	1.206698	1.215993	24.000000	23.900000	
0.000875	1.232546	1.212477	24.500000	24.299999	
0.000870	1.230891	1.209698	24.400000	27.000000	
0.000864	1.210991	1.210494	24.400000	26.400000	
0.000859	1.221556	1.205112	23.799999	25.200001	
0.000854	1.227878	1.216544	24.299999	26.299999	
0.000848	1.213920	1.224968	25.200001	25.000000	
0.000842	1.192838	1.221785	25.700001	25.299999	
0.000837	1.215564	1.205756	25.500000	27.500000	
0.000831	1.211318	1.206618	25.799999	27.200001	
0.000825	1.209495	1.208261	24.299999	25.600000	
0.000819	1.201442	1.211308	27.000000	26.600000	
0.000813	1.181583	1.214151	25.799999	26.500000	
