Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.016946	1.089683	60.333332	60.000004	
0.001000	0.958987	1.087253	62.000000	60.000004	
0.000999	0.937317	1.076387	62.222221	61.000000	
0.000998	0.921865	1.046055	62.222221	63.000000	
0.000996	0.957078	1.020485	59.666668	65.000000	
0.000994	0.847742	1.008590	63.333332	65.000000	
0.000991	0.841709	0.983699	64.888885	65.000000	
0.000988	0.841221	0.987589	64.666664	63.000000	
0.000984	0.829304	0.966554	63.333332	65.000000	
0.000980	0.791903	0.947123	65.777779	66.000000	
0.000976	0.830099	0.933174	62.000000	66.000000	
0.000970	0.808597	0.926272	63.777779	66.000000	
0.000965	0.775164	0.904936	64.333336	67.000000	
0.000959	0.752190	0.872469	65.777779	68.000000	
0.000952	0.750854	0.853700	64.333336	68.000000	
0.000946	0.728623	0.843489	67.111115	68.000000	
0.000938	0.758696	0.853150	64.666664	67.000000	
0.000930	0.717429	0.841307	65.111115	68.000000	
0.000922	0.716791	0.845347	66.555557	67.000000	
0.000914	0.683570	0.837767	66.777779	67.000000	
0.000905	0.722972	0.830685	63.888889	67.000000	
0.000895	0.708119	0.825263	65.888885	67.000000	
0.000885	0.682984	0.819932	67.111115	67.000000	
0.000875	0.660943	0.809852	67.555557	66.000000	
0.000864	0.686330	0.797132	67.444443	66.000000	
0.000854	0.659386	0.784958	68.555557	66.000000	
0.000842	0.668806	0.778026	66.222221	66.000000	
0.000831	0.634251	0.778783	69.111115	65.000000	
0.000819	0.672526	0.780056	65.777779	65.000000	
0.000806	0.617366	0.781767	70.777779	65.000000	
0.000794	0.655475	0.771034	65.888885	66.000000	
0.000781	0.602299	0.767711	70.222221	66.000000	
0.000768	0.606717	0.759851	69.777779	67.000000	
0.000755	0.588958	0.754608	69.777779	67.000000	
0.000741	0.591447	0.762520	69.666664	66.000000	
0.000727	0.601310	0.767688	69.666664	65.000000	
0.000713	0.587519	0.791818	70.333336	62.000000	
0.000699	0.613259	0.756251	68.555557	65.000000	
0.000684	0.607204	0.755424	68.222221	65.000000	
0.000669	0.613674	0.768986	68.555557	64.000000	
0.000655	0.557194	0.772307	71.777779	63.000000	
0.000640	0.593655	0.749606	69.444443	65.000000	
0.000624	0.555094	0.748252	72.111115	65.000000	
0.000609	0.562257	0.769224	70.777779	63.000000	
0.000594	0.566261	0.754066	70.777779	64.000000	
0.000578	0.535102	0.694449	72.000000	69.000000	
0.000563	0.547117	0.690367	70.222221	69.000000	
0.000547	0.548269	0.694346	70.666664	68.000000	
0.000531	0.577329	0.676311	69.666664	69.000000	
0.000516	0.539334	0.682841	70.777779	68.000000	
0.000500	0.549264	0.676826	71.000000	69.000000	
0.000484	0.521576	0.689405	71.777779	68.000000	
0.000469	0.559703	0.700776	69.888885	67.000000	
0.000453	0.511332	0.704700	73.333336	67.000000	
0.000437	0.525490	0.699016	72.000000	68.000000	
0.000422	0.527092	0.695662	70.666664	68.000000	
0.000406	0.533253	0.702742	71.111115	67.000000	
0.000391	0.550247	0.648066	70.222221	72.000000	
0.000376	0.494585	0.626969	74.333336	73.000000	
0.000361	0.516185	0.646333	72.666664	71.000000	
0.000346	0.496680	0.644124	73.333336	71.000000	
0.000331	0.521947	0.632714	71.444443	72.000000	
0.000316	0.463283	0.639551	76.111115	71.000000	
0.000301	0.510235	0.693972	72.333336	66.000000	
0.000287	0.518185	0.695658	72.222221	66.000000	
0.000273	0.489526	0.653420	73.111115	70.000000	
0.000259	0.545435	0.628147	70.888885	72.000000	
0.000246	0.548659	0.603594	69.555557	74.000000	
0.000232	0.510247	0.610829	72.111115	73.000000	
0.000219	0.501812	0.609063	72.222221	73.000000	
0.000206	0.494653	0.606891	73.111115	73.000000	
0.000194	0.521887	0.617934	70.888885	72.000000	
0.000181	0.512547	0.622245	71.666664	72.000000	
0.000169	0.521434	0.613195	71.000000	73.000000	
0.000158	0.503368	0.615261	72.555557	73.000000	
0.000147	0.522255	0.638078	70.777779	71.000000	
0.000136	0.484711	0.613645	75.777779	73.000000	
0.000125	0.477524	0.600810	73.666664	74.000000	
0.000115	0.464686	0.599884	75.222221	74.000000	
0.000105	0.512964	0.611157	70.555557	73.000000	
0.000096	0.504984	0.612577	71.777779	73.000000	
0.000087	0.505503	0.622848	72.222221	72.000000	
0.000078	0.507758	0.611582	72.888885	73.000000	
0.000070	0.499359	0.590611	72.000000	75.000000	
0.000062	0.487971	0.598715	73.777779	74.000000	
0.000055	0.498848	0.598103	72.333336	74.000000	
0.000048	0.489992	0.598396	73.111115	74.000000	
0.000041	0.460565	0.598320	75.111115	74.000000	
0.000035	0.493559	0.588105	72.888885	75.000000	
0.000030	0.465906	0.588376	75.222221	75.000000	
0.000025	0.494738	0.588851	72.888885	75.000000	
0.000020	0.454493	0.589343	76.888885	75.000000	
0.000016	0.493068	0.589057	73.666664	75.000000	
0.000012	0.496572	0.588928	74.000000	75.000000	
0.000009	0.484472	0.588794	73.666664	75.000000	
0.000006	0.521064	0.588683	70.666664	75.000000	
0.000004	0.511893	0.588627	72.222221	75.000000	
0.000002	0.462858	0.588633	75.555557	75.000000	
0.000001	0.484745	0.588635	74.111115	75.000000	
0.000000	0.500493	0.588633	72.666664	75.000000	
