Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.031792	1.117091	51.333332	47.000000	
0.001000	1.033796	1.105402	51.333332	47.000000	
0.001000	1.033454	1.093103	48.666668	47.000000	
0.000999	0.990094	1.094261	52.111111	46.000000	
0.000999	0.970393	1.064658	52.000000	48.000000	
0.000998	0.985611	1.054712	50.777779	48.000000	
0.000998	0.964753	1.056763	51.444443	47.000000	
0.000997	0.975622	1.039103	50.111111	48.000000	
0.000996	0.975766	1.020485	49.333332	49.000000	
0.000995	0.938002	1.001443	53.444443	50.000000	
0.000994	0.942472	0.991746	50.000000	50.000000	
0.000993	0.937661	0.987181	50.888889	50.000000	
0.000991	0.888146	0.971692	55.333332	50.000000	
0.000990	0.898117	0.971355	53.777779	49.000000	
0.000988	0.901159	0.944776	52.222221	51.000000	
0.000986	0.894543	0.950524	52.000000	50.000000	
0.000984	0.825884	0.942361	57.111111	50.000000	
0.000982	0.859151	0.938772	54.333332	50.000000	
0.000980	0.867341	0.931429	51.777779	50.000000	
0.000978	0.864810	0.946822	54.444443	48.000000	
0.000976	0.848639	0.933990	53.444443	49.000000	
0.000973	0.856555	0.941937	52.111111	48.000000	
0.000970	0.839299	0.948285	53.111111	47.000000	
0.000968	0.791824	0.936945	56.000000	48.000000	
0.000965	0.821510	0.932245	54.777779	48.000000	
0.000962	0.811826	0.907492	54.666668	50.000000	
0.000959	0.800365	0.892933	55.222221	51.000000	
0.000956	0.780887	0.880128	57.000000	52.000000	
0.000952	0.780682	0.860728	56.555557	54.000004	
0.000949	0.790907	0.881177	54.444443	52.000000	
0.000946	0.771972	0.862274	56.333332	52.999996	
0.000942	0.734734	0.866914	58.555557	52.000000	
0.000938	0.704130	0.887385	61.222221	49.000000	
0.000934	0.739891	0.860794	57.666668	51.000000	
0.000930	0.746831	0.866072	56.222221	50.000000	
0.000926	0.746433	0.860560	56.777779	50.000000	
0.000922	0.712744	0.844822	59.222221	51.000000	
0.000918	0.716438	0.831917	58.111111	52.000000	
0.000914	0.665479	0.828986	62.444443	52.000000	
0.000909	0.694813	0.805842	59.111111	54.000004	
0.000905	0.669706	0.783410	61.777779	56.000000	
0.000900	0.642176	0.780119	62.888889	56.000000	
0.000895	0.672641	0.826410	60.222221	50.000000	
0.000890	0.660371	0.831414	60.666668	49.000000	
0.000885	0.637611	0.846734	62.111111	47.000000	
0.000880	0.666940	0.842699	59.444443	47.000000	
0.000875	0.660508	0.848785	59.333332	46.000000	
0.000870	0.630860	0.836954	61.666668	47.000000	
0.000864	0.631424	0.853960	61.111111	45.000000	
0.000859	0.603169	0.818617	63.888889	48.000000	
0.000854	0.659165	0.780918	58.111111	52.000000	
0.000848	0.628175	0.791181	61.444443	51.000000	
0.000842	0.587356	0.760262	64.777779	54.000004	
0.000837	0.587164	0.763909	63.666668	52.999996	
0.000831	0.590088	0.729744	63.111111	56.000000	
0.000825	0.583932	0.736071	63.333332	55.000000	
0.000819	0.581963	0.721455	64.111115	56.000000	
0.000813	0.560248	0.697749	65.444443	58.000000	
0.000806	0.517213	0.685491	69.000000	58.999996	
0.000800	0.536703	0.666893	67.111115	60.000004	
0.000794	0.545271	0.628293	65.666664	63.000000	
0.000788	0.549646	0.609584	65.222221	64.000000	
0.000781	0.524345	0.614982	68.222221	63.000000	
0.000775	0.537916	0.608775	65.777779	63.000000	
0.000768	0.492884	0.629875	70.222221	61.000000	
0.000761	0.457112	0.592822	73.222221	64.000000	
0.000755	0.450371	0.593000	73.333336	63.000000	
0.000748	0.476402	0.579512	70.666664	64.000000	
0.000741	0.426568	0.586516	74.888885	63.000000	
0.000734	0.411787	0.604768	76.444443	61.000000	
0.000727	0.420703	0.593123	75.444443	62.000000	
0.000720	0.403484	0.602418	76.333336	61.000000	
0.000713	0.403898	0.640084	76.555557	57.000000	
0.000706	0.412666	0.680919	74.777779	52.999996	
0.000699	0.432752	0.647605	72.777779	56.000000	
0.000691	0.410023	0.494806	75.333336	71.000000	
0.000684	0.354794	0.515540	80.333336	69.000000	
0.000677	0.349202	0.644964	79.333336	56.000000	
0.000669	0.375459	0.677019	77.555557	52.999996	
0.000662	0.394295	0.655612	74.888885	55.000000	
0.000655	0.390329	0.642965	75.444443	56.000000	
0.000647	0.345984	0.591612	79.444443	61.000000	
0.000640	0.308298	0.571129	83.333336	63.000000	
0.000632	0.319182	0.661894	81.888885	54.000004	
0.000624	0.387962	0.691245	74.444443	51.000000	
0.000617	0.338223	0.630504	79.111115	57.000000	
0.000609	0.338439	0.569521	79.222221	63.000000	
0.000601	0.303810	0.569471	82.555557	63.000000	
0.000594	0.375462	0.619085	75.444443	58.000000	
0.000586	0.330454	0.508347	80.000000	69.000000	
0.000578	0.368013	0.558709	77.333336	64.000000	
0.000570	0.334658	0.598349	79.111115	60.000004	
0.000563	0.357337	0.588225	78.222221	61.000000	
0.000555	0.341413	0.558091	78.555557	64.000000	
0.000547	0.285233	0.497439	84.666664	70.000000	
0.000539	0.299117	0.517109	82.888885	68.000000	
0.000531	0.391244	0.627344	73.444443	57.000000	
0.000524	0.346192	0.626879	78.333336	57.000000	
0.000516	0.296474	0.656505	83.333336	54.000004	
0.000508	0.392182	0.606692	73.000000	58.999996	
0.000500	0.384943	0.445857	74.555557	75.000000	
0.000492	0.307097	0.557413	82.000000	64.000000	
0.000484	0.296385	0.546591	82.666664	65.000000	
0.000476	0.295855	0.556078	82.333336	64.000000	
0.000469	0.281437	0.525706	84.111115	67.000000	
0.000461	0.277682	0.535759	83.888885	66.000000	
0.000453	0.250286	0.505155	87.111115	69.000000	
0.000445	0.246282	0.504969	87.333336	69.000000	
0.000437	0.310956	0.634813	81.444443	56.000000	
0.000430	0.304279	0.424603	81.777779	77.000000	
0.000422	0.271870	0.444628	84.666664	75.000000	
0.000414	0.318167	0.504739	80.222221	69.000000	
0.000406	0.312535	0.594801	80.777779	60.000004	
0.000399	0.256614	0.554624	85.777779	64.000000	
0.000391	0.245868	0.484402	86.888885	71.000000	
0.000383	0.260829	0.594502	86.222221	60.000004	
0.000376	0.276212	0.604671	84.000000	58.999996	
0.000368	0.255570	0.404204	85.888885	79.000000	
0.000361	0.289258	0.464139	83.333336	73.000000	
0.000353	0.271635	0.504233	84.888885	69.000000	
0.000346	0.276830	0.524273	83.777779	67.000000	
0.000338	0.244569	0.514213	86.888885	68.000000	
0.000331	0.230015	0.543890	88.333336	65.000000	
0.000323	0.309026	0.593817	80.555557	60.000004	
0.000316	0.288932	0.523667	82.555557	67.000000	
0.000309	0.295985	0.613793	82.000000	58.000000	
0.000301	0.310597	0.473366	80.666664	72.000000	
0.000294	0.253360	0.443312	86.222221	75.000000	
0.000287	0.265093	0.503433	85.777779	69.000000	
0.000280	0.271347	0.553716	84.333336	64.000000	
0.000273	0.242123	0.533696	87.333336	66.000000	
0.000266	0.221338	0.513430	89.555557	68.000000	
0.000259	0.282150	0.443194	83.111115	75.000000	
0.000252	0.276149	0.463167	83.888885	73.000000	
0.000246	0.251403	0.533371	86.222221	66.000000	
0.000239	0.255856	0.553269	85.444443	64.000000	
0.000232	0.332130	0.573255	78.333336	62.000000	
0.000226	0.242060	0.503163	86.666664	69.000000	
0.000219	0.228111	0.532940	88.111115	66.000000	
0.000213	0.236443	0.492719	87.666664	70.000000	
0.000206	0.268585	0.422533	84.666664	77.000000	
0.000200	0.232654	0.472379	88.000000	72.000000	
0.000194	0.250427	0.512369	86.000000	68.000000	
0.000187	0.244312	0.482240	86.666664	71.000000	
0.000181	0.274668	0.462054	84.000000	73.000000	
0.000175	0.214850	0.461879	89.333336	73.000000	
0.000169	0.243684	0.501975	86.555557	69.000000	
0.000164	0.239590	0.471772	86.888885	72.000000	
0.000158	0.214268	0.451771	89.555557	74.000000	
0.000152	0.237195	0.532004	86.888885	66.000000	
0.000147	0.244115	0.511921	86.555557	68.000000	
0.000141	0.254787	0.491793	85.888885	70.000000	
0.000136	0.207916	0.491729	90.111115	70.000000	
0.000130	0.245572	0.511721	86.555557	68.000000	
0.000125	0.227993	0.481641	87.888885	71.000000	
0.000120	0.206886	0.471665	89.777779	72.000000	
0.000115	0.205982	0.501856	90.222221	69.000000	
0.000110	0.225947	0.512003	88.222221	68.000000	
0.000105	0.215454	0.522016	89.000000	67.000000	
0.000100	0.231908	0.471976	87.777779	72.000000	
0.000096	0.221868	0.472279	88.777779	72.000000	
0.000091	0.231843	0.522886	87.777779	67.000000	
0.000087	0.233995	0.503238	87.111115	69.000000	
0.000082	0.214059	0.533873	89.000000	66.000000	
0.000078	0.208624	0.525402	89.777779	67.000000	
0.000074	0.218129	0.459455	88.666664	72.000000	
0.000070	0.221904	0.539671	88.222221	64.000000	
0.000066	0.201954	0.549453	90.222221	63.000000	
0.000062	0.224413	0.529298	88.222221	65.000000	
0.000058	0.179141	0.529152	92.111115	65.000000	
0.000055	0.204204	0.519050	90.000000	66.000000	
0.000051	0.198446	0.518989	90.333336	66.000000	
0.000048	0.204347	0.518957	89.888885	66.000000	
0.000044	0.185423	0.548824	91.666664	63.000000	
0.000041	0.190873	0.558705	91.222221	62.000000	
0.000038	0.215132	0.548571	89.000000	63.000000	
0.000035	0.217072	0.548511	88.555557	63.000000	
0.000032	0.194189	0.538490	91.111115	64.000000	
0.000030	0.199445	0.538427	90.333336	64.000000	
0.000027	0.209602	0.538346	89.444443	64.000000	
0.000025	0.182150	0.538265	91.777779	64.000000	
