Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.838109	0.768068	69.111115	78.000000	
0.000976	0.857108	0.765008	67.666664	77.000000	
0.000905	0.808987	0.743143	70.111115	78.000000	
0.000794	0.780780	0.733531	71.111115	78.000000	
0.000655	0.804505	0.725768	68.777779	78.000000	
0.000500	0.801164	0.710202	68.888885	79.000000	
0.000346	0.777443	0.706584	70.555557	79.000000	
0.000206	0.755019	0.694500	71.444443	80.000000	
0.000096	0.746768	0.693536	71.555557	80.000000	
0.000025	0.762975	0.693275	70.000000	80.000000	
