Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.648063	1.588642	28.500000	26.000000	
0.001000	1.576452	1.558817	29.200001	26.000000	
0.001000	1.571626	1.558987	29.700001	25.900000	
0.000999	1.535953	1.490720	28.600000	28.000000	
0.000999	1.538982	1.497676	26.700001	27.700001	
0.000998	1.510581	1.469814	28.700001	28.000000	
0.000998	1.497865	1.462612	26.600000	25.900000	
0.000997	1.449645	1.414826	27.100000	29.200001	
0.000996	1.414949	1.418322	27.100000	26.100000	
0.000995	1.428383	1.401492	26.799999	26.500000	
0.000994	1.385691	1.383936	30.000000	28.000000	
0.000993	1.389025	1.366007	28.600000	27.000000	
0.000991	1.373985	1.372177	27.500000	27.500000	
0.000990	1.379476	1.371214	27.400000	28.200001	
0.000988	1.348251	1.343519	29.799999	27.500000	
0.000986	1.353608	1.368045	28.600000	26.500000	
0.000984	1.336637	1.339744	29.900000	28.299999	
0.000982	1.336556	1.333937	27.600000	27.100000	
0.000980	1.346181	1.329155	27.400000	26.299999	
0.000978	1.336169	1.312141	27.500000	26.200001	
0.000976	1.312174	1.332042	28.100000	27.299999	
0.000973	1.307460	1.340828	29.299999	26.000000	
0.000970	1.320914	1.306709	28.000000	27.600000	
0.000968	1.304362	1.295955	29.200001	27.299999	
0.000965	1.298211	1.312678	27.200001	26.700001	
0.000962	1.294464	1.300549	27.500000	26.000000	
0.000959	1.302155	1.281224	27.600000	26.900000	
0.000956	1.291225	1.274631	28.200001	27.100000	
0.000952	1.276520	1.297424	28.500000	26.600000	
0.000949	1.266325	1.270943	28.200001	26.100000	
0.000946	1.286452	1.260986	27.700001	26.400000	
0.000942	1.265486	1.273833	28.200001	26.900000	
0.000938	1.253393	1.263789	29.100000	25.900000	
0.000934	1.252368	1.259990	29.400000	26.299999	
0.000930	1.271314	1.239894	27.700001	26.500000	
0.000926	1.243023	1.243219	28.299999	26.299999	
0.000922	1.241005	1.247829	28.100000	26.200001	
0.000918	1.242552	1.216387	27.299999	27.500000	
0.000914	1.221601	1.229660	29.000000	26.799999	
0.000909	1.228737	1.224582	27.000000	27.500000	
0.000905	1.234377	1.220234	28.200001	26.600000	
0.000900	1.220926	1.223423	27.900000	26.100000	
0.000895	1.218739	1.213749	26.600000	26.299999	
0.000890	1.210491	1.206321	27.400000	26.500000	
0.000885	1.203977	1.203049	26.700001	26.600000	
0.000880	1.197121	1.202701	28.100000	26.500000	
0.000875	1.206357	1.205825	26.900000	26.500000	
0.000870	1.200622	1.200744	29.799999	27.900000	
0.000864	1.194663	1.206542	27.900000	26.500000	
0.000859	1.194027	1.196045	27.799999	27.400000	
0.000854	1.202146	1.192984	27.100000	28.600000	
0.000848	1.198488	1.197363	27.900000	26.700001	
0.000842	1.188765	1.179260	28.600000	26.900000	
0.000837	1.188382	1.170691	28.200001	28.400000	
0.000831	1.180136	1.199704	28.600000	26.100000	
0.000825	1.179120	1.173236	26.799999	27.200001	
0.000819	1.185790	1.187473	28.299999	27.700001	
0.000813	1.173398	1.176465	28.400000	26.700001	
0.000806	1.168093	1.180075	29.100000	26.100000	
0.000800	1.182345	1.172613	28.100000	26.900000	
0.000794	1.175251	1.180576	27.200001	27.200001	
0.000788	1.177083	1.170765	27.799999	28.100000	
0.000781	1.171244	1.166152	29.100000	27.400000	
0.000775	1.170640	1.175166	28.000000	26.799999	
0.000768	1.172702	1.177570	27.799999	28.200001	
0.000761	1.175952	1.170018	28.600000	27.500000	
0.000755	1.166421	1.168765	29.299999	27.700001	
0.000748	1.171264	1.160171	27.799999	29.600000	
0.000741	1.165507	1.170216	29.000000	27.299999	
0.000734	1.165780	1.162803	30.100000	27.500000	
0.000727	1.159074	1.155283	30.600000	29.200001	
0.000720	1.162773	1.154272	28.000000	29.900000	
0.000713	1.170715	1.143151	29.400000	29.200001	
0.000706	1.159047	1.161205	30.200001	29.400000	
0.000699	1.158601	1.177558	28.500000	26.900000	
0.000691	1.154402	1.142060	31.000000	30.200001	
0.000684	1.150775	1.154261	32.500000	29.200001	
0.000677	1.155673	1.145986	31.500000	30.400000	
0.000669	1.154345	1.150377	33.200001	29.000000	
0.000662	1.155645	1.168489	30.200001	28.700001	
0.000655	1.148664	1.146657	33.299999	29.600000	
0.000647	1.149348	1.148656	34.400002	33.900002	
0.000640	1.154440	1.151620	33.000000	30.200001	
0.000632	1.159279	1.173855	32.599998	30.000000	
0.000624	1.152152	1.158217	36.000000	32.000000	
0.000617	1.149296	1.147007	29.700001	35.900002	
0.000609	1.151794	1.147971	34.900002	33.400002	
0.000601	1.154485	1.154115	35.000000	48.000000	
0.000594	1.155985	1.140493	48.000000	48.000000	
0.000586	1.151298	1.145412	48.000000	48.000000	
0.000578	1.142256	1.149927	48.000000	48.000000	
0.000570	1.145254	1.153689	48.000000	48.000000	
0.000563	1.147589	1.151974	48.000000	48.000000	
