Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.829579	1.646657	66.111115	64.000000	
0.001000	0.835202	1.580849	65.111115	65.000000	
0.001000	0.816374	1.635088	65.666664	62.000000	
0.000999	0.805392	1.556168	66.222221	63.000000	
0.000999	0.791362	1.541928	67.777779	63.000000	
0.000998	0.786439	1.577272	66.555557	61.000000	
0.000998	0.735364	1.543060	70.111115	63.000000	
0.000997	0.752642	1.544896	67.555557	62.000000	
0.000996	0.730343	1.449612	69.333336	64.000000	
0.000995	0.746473	1.480198	67.666664	63.000000	
0.000994	0.729356	1.420963	67.888885	65.000000	
0.000993	0.725208	1.398715	67.888885	66.000000	
0.000991	0.714173	1.366904	67.666664	65.000000	
0.000990	0.676120	1.358062	70.888885	65.000000	
0.000988	0.674111	1.248081	70.888885	68.000000	
0.000986	0.679093	1.346085	69.222221	67.000000	
0.000984	0.670901	1.228882	68.888885	67.000000	
0.000982	0.651341	1.153785	69.555557	69.000000	
0.000980	0.633176	1.157841	70.777779	66.000000	
0.000978	0.643218	1.112052	69.000000	68.000000	
0.000976	0.639277	0.992752	68.777779	71.000000	
0.000973	0.630246	0.987855	68.777779	70.000000	
0.000970	0.609163	0.982135	69.777779	70.000000	
0.000968	0.633403	0.870878	66.555557	67.000000	
0.000965	0.633292	0.846530	66.444443	66.000000	
0.000962	0.597395	0.762727	69.333336	69.000000	
0.000959	0.593226	0.994349	68.666664	60.000004	
0.000956	0.568696	0.893277	70.777779	60.000004	
0.000952	0.554028	0.858598	71.000000	57.000000	
0.000949	0.547127	0.895885	71.333336	60.000004	
0.000946	0.540502	0.918636	71.111115	61.000000	
0.000942	0.538707	0.906948	71.111115	57.000000	
0.000938	0.573620	0.848157	66.666664	60.000004	
0.000934	0.555033	0.890001	68.000000	50.000000	
0.000930	0.534404	0.807184	70.111115	60.000004	
0.000926	0.540444	0.798559	68.888885	55.000000	
0.000922	0.548238	0.768548	68.333336	57.000000	
0.000918	0.518997	0.799108	70.111115	58.000000	
0.000914	0.498399	0.760954	71.666664	58.000000	
0.000909	0.520280	0.773868	69.111115	56.000000	
0.000905	0.489512	0.875810	71.888885	48.000000	
0.000900	0.474957	0.804823	73.222221	52.999996	
0.000895	0.480062	0.709659	72.333336	62.000000	
0.000890	0.477113	0.733560	72.111115	62.000000	
0.000885	0.449749	0.788828	74.333336	57.000000	
0.000880	0.435927	0.774596	75.666664	56.000000	
0.000875	0.442666	0.785154	74.222221	54.000004	
0.000870	0.445090	0.701440	73.666664	62.000000	
0.000864	0.395694	0.745290	78.000000	57.000000	
0.000859	0.494428	0.777029	68.222221	52.000000	
0.000854	0.456137	0.787882	71.555557	54.000004	
0.000848	0.396335	0.774909	77.111115	55.000000	
0.000842	0.417559	0.722465	75.111115	58.000000	
0.000837	0.413555	0.640666	75.222221	65.000000	
0.000831	0.417537	0.613910	74.888885	65.000000	
0.000825	0.458326	0.763721	70.666664	52.000000	
0.000819	0.429350	0.740631	73.000000	56.000000	
0.000813	0.396954	0.665766	76.444443	63.000000	
0.000806	0.357748	0.601826	79.444443	69.000000	
0.000800	0.382442	0.653847	77.222221	62.000000	
0.000794	0.419526	0.502041	73.777779	76.000000	
0.000788	0.348432	0.529603	80.222221	75.000000	
0.000781	0.390857	0.532265	75.888885	73.000000	
0.000775	0.386645	0.722311	75.777779	56.000000	
0.000768	0.330075	0.564689	81.222221	70.000000	
0.000761	0.459678	0.559305	68.222221	71.000000	
0.000755	0.304181	0.561080	83.555557	73.000000	
0.000748	0.331263	0.488065	80.777779	76.000000	
0.000741	0.341269	0.647990	79.333336	62.000000	
0.000734	0.309047	0.593239	82.333336	66.000000	
0.000727	0.360888	0.568455	77.000000	69.000000	
0.000720	0.296292	0.651575	83.444443	64.000000	
0.000713	0.305334	0.669292	82.222221	58.999996	
0.000706	0.300875	0.528440	82.333336	75.000000	
0.000699	0.253612	0.644370	86.666664	65.000000	
0.000691	0.276896	0.653351	84.333336	60.000004	
0.000684	0.284843	0.597870	83.555557	68.000000	
0.000677	0.245737	0.592874	86.888885	69.000000	
0.000669	0.267925	0.623498	84.666664	63.000000	
0.000662	0.269149	0.555491	84.333336	71.000000	
0.000655	0.262283	0.526395	84.666664	74.000000	
0.000647	0.257973	0.605589	85.000000	66.000000	
0.000640	0.243915	0.639974	86.333336	63.000000	
0.000632	0.261050	0.601132	84.333336	66.000000	
0.000624	0.264173	0.599378	84.222221	66.000000	
0.000617	0.236076	0.500092	86.777779	74.000000	
0.000609	0.227127	0.594568	87.333336	66.000000	
0.000601	0.262759	0.542257	84.000000	71.000000	
0.000594	0.230109	0.590750	86.777779	66.000000	
0.000586	0.230654	0.541965	86.777779	71.000000	
0.000578	0.226151	0.560722	87.000000	69.000000	
0.000570	0.208930	0.544958	88.666664	69.000000	
0.000563	0.215792	0.543689	87.777779	70.000000	
0.000555	0.223930	0.559676	87.111115	68.000000	
0.000547	0.225570	0.548841	86.666664	69.000000	
0.000539	0.230390	0.493569	86.222221	74.000000	
0.000531	0.233133	0.520113	85.777779	70.000000	
0.000524	0.222748	0.548747	86.888885	68.000000	
0.000516	0.247230	0.543295	84.333336	69.000000	
0.000508	0.242164	0.548159	85.000000	68.000000	
