Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.072772	1.100548	50.111111	55.000000	
0.000976	1.052057	1.070105	51.222221	57.000000	
0.000905	1.062292	1.050164	49.222221	58.000000	
0.000794	1.012825	1.003433	53.111111	62.000000	
0.000655	1.032711	0.996116	50.333332	62.000000	
0.000500	1.014473	0.990060	51.777779	62.000000	
0.000346	1.030991	0.976274	49.666668	63.000000	
0.000206	1.039173	0.973735	48.777779	63.000000	
0.000096	0.987726	0.982597	53.666668	62.000000	
0.000025	1.017729	0.982294	50.777779	62.000000	
