Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	1.500885	1.753402	27.777779	30.000000	
0.000976	1.448058	1.691631	32.222221	30.000000	
0.000905	1.378171	1.643619	35.555557	30.000000	
0.000794	1.359708	1.606487	34.444443	30.000000	
0.000655	1.329501	1.579163	31.111111	30.000000	
0.000500	1.321240	1.559650	35.555557	30.000000	
0.000346	1.317177	1.546642	34.444443	30.000000	
0.000206	1.285503	1.539638	32.222221	30.000000	
0.000096	1.278279	1.536316	33.333332	30.000000	
0.000025	1.279545	1.535480	36.666668	30.000000	
