Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	2.171952	2.270448	22.000000	19.000000	
0.001000	2.181672	2.168998	20.000000	27.000000	
0.001000	2.161899	2.117554	20.000000	24.000000	
0.001000	2.133990	2.140352	27.000000	25.000000	
0.001000	2.101854	2.081518	26.000000	30.000000	
0.001000	2.072203	2.063315	28.000000	36.000000	
0.001000	2.112101	2.093514	28.000000	31.000000	
0.001000	1.980752	2.152683	28.000000	24.000000	
0.000999	2.065473	2.074342	36.000000	32.000000	
0.000999	2.031904	2.045519	33.000000	35.000000	
0.000999	1.998738	2.022002	39.000000	44.000000	
0.000999	1.949642	2.094991	36.000000	29.000000	
0.000999	1.907261	2.054171	50.000000	35.000000	
0.000998	1.947507	2.015069	45.000000	41.000000	
0.000998	1.919953	2.021143	39.000000	35.000000	
0.000998	1.970282	1.981869	39.000000	42.000000	
0.000997	1.957572	1.941729	45.000000	50.000000	
0.000997	1.790791	1.957445	53.000000	45.000000	
0.000997	1.880247	1.889419	48.000000	52.000000	
0.000996	1.858314	1.906809	45.000000	56.000000	
0.000996	1.897444	1.917134	44.000000	53.000000	
0.000996	1.866123	1.947993	47.000000	53.000000	
0.000995	1.856454	1.964275	46.000000	48.000000	
0.000995	1.830667	1.864338	56.000000	59.000000	
0.000994	1.902369	1.935216	44.000000	46.000000	
0.000994	1.742258	1.869599	57.000000	54.000000	
0.000993	1.816836	1.926228	49.000000	57.000000	
0.000993	1.741408	1.865240	61.000000	55.000000	
0.000992	1.790967	1.841418	53.000000	57.000000	
0.000992	1.883821	1.790945	45.000000	62.000000	
0.000991	1.841579	1.834407	50.000000	58.000000	
0.000991	1.794503	1.761170	50.000000	66.000000	
0.000990	1.696595	1.810754	65.000000	61.000000	
0.000989	1.650488	1.679623	63.000000	71.000000	
0.000989	1.635937	1.823143	65.000000	67.000000	
0.000988	1.614085	1.784123	68.000000	65.000000	
0.000987	1.684258	1.776125	65.000000	69.000000	
0.000987	1.642844	1.767066	63.000000	67.000000	
0.000986	1.636250	1.740746	72.000000	72.000000	
0.000985	1.571778	1.674729	79.000000	76.000000	
0.000984	1.584821	1.617260	73.000000	76.000000	
