Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	2.219274	2.226467	21.000000	34.000000	
0.001000	2.241768	2.150409	23.000000	29.000000	
0.001000	2.231819	2.200213	21.000000	22.000000	
0.001000	2.205569	2.182583	24.000000	26.000000	
0.001000	2.121741	2.100721	28.000000	28.000000	
0.001000	2.160458	2.144621	27.000000	26.000000	
0.001000	2.194949	2.139437	21.000000	24.000000	
0.001000	2.035100	2.143920	35.000000	31.000000	
0.000999	2.076348	2.063414	32.000000	34.000000	
0.000999	2.037706	2.075060	33.000000	31.000000	
0.000999	2.004314	2.069810	36.000000	34.000000	
0.000999	1.986189	2.120510	32.000000	33.000000	
0.000999	1.967757	2.055413	38.000000	40.000000	
0.000998	2.038783	2.078385	31.000000	30.000000	
0.000998	1.934412	2.091572	43.000000	35.000000	
0.000998	1.900662	2.124407	39.000000	30.000000	
0.000997	1.963669	2.028364	39.000000	39.000000	
0.000997	1.874037	1.998559	44.000000	40.000000	
0.000997	2.007133	1.956847	29.000000	43.000000	
0.000996	1.942147	1.971016	41.000000	41.000000	
0.000996	1.802244	2.025072	53.000000	37.000000	
0.000996	1.920166	1.961973	44.000000	38.000000	
0.000995	1.874861	1.975348	48.000000	44.000000	
0.000995	1.801527	2.038587	47.000000	41.000000	
0.000994	1.973663	2.006150	33.000000	44.000000	
0.000994	1.874992	1.958572	47.000000	48.000000	
0.000993	1.855139	1.973051	46.000000	42.000000	
0.000993	1.805094	1.944877	57.000000	46.000000	
0.000992	1.834877	1.910334	49.000000	48.000000	
0.000992	1.766920	1.876319	56.000000	50.000000	
0.000991	1.727054	1.901243	57.000000	45.000000	
0.000991	1.829467	1.807595	52.000000	58.000000	
0.000990	1.713022	1.743798	59.000000	62.000000	
0.000989	1.833148	1.751346	49.000000	58.000000	
0.000989	1.682830	1.681872	58.000000	71.000000	
0.000988	1.589286	1.719026	68.000000	65.000000	
0.000987	1.685562	1.815650	58.000000	59.000000	
0.000987	1.677336	1.720448	58.000000	58.000000	
0.000986	1.556919	1.627776	65.000000	71.000000	
0.000985	1.654228	1.721132	64.000000	57.000000	
0.000984	1.658252	1.715484	58.000000	58.000000	
0.000984	1.561337	1.649283	66.000000	62.000000	
0.000983	1.613100	1.568428	65.000000	74.000000	
0.000982	1.568035	1.488038	67.000000	76.000000	
0.000981	1.580875	1.527181	68.000000	71.000000	
0.000980	1.652345	1.532656	57.000000	70.000000	
0.000979	1.475375	1.596305	72.000000	63.000000	
0.000978	1.543696	1.399932	68.000000	75.000000	
0.000977	1.562648	1.458407	65.000000	75.000000	
0.000976	1.531890	1.571130	69.000000	64.000000	
0.000976	1.483918	1.590492	68.000000	71.000000	
0.000975	1.574071	1.550699	66.000000	68.000000	
0.000974	1.499734	1.430099	73.000000	78.000000	
0.000973	1.373298	1.606304	72.000000	64.000000	
0.000971	1.522136	1.473879	68.000000	77.000000	
0.000970	1.476597	1.523395	68.000000	64.000000	
0.000969	1.548227	1.419526	59.000000	75.000000	
0.000968	1.413874	1.526689	79.000000	69.000000	
0.000967	1.418123	1.502327	72.000000	76.000000	
0.000966	1.389102	1.458617	69.000000	75.000000	
0.000965	1.493563	1.424501	67.000000	74.000000	
0.000964	1.387862	1.525763	71.000000	64.000000	
0.000963	1.332755	1.391609	75.000000	71.000000	
0.000961	1.257041	1.385827	78.000000	71.000000	
0.000960	1.343453	1.386972	77.000000	77.000000	
0.000959	1.351156	1.365629	70.000000	73.000000	
0.000958	1.341174	1.223498	73.000000	82.000000	
0.000956	1.281162	1.278492	76.000000	75.000000	
0.000955	1.269194	1.200618	75.000000	79.000000	
0.000954	1.385778	1.337042	64.000000	74.000000	
0.000952	1.292409	1.373782	71.000000	69.000000	
0.000951	1.435893	1.289107	60.000000	76.000000	
0.000950	1.368206	1.264146	65.000000	78.000000	
0.000948	1.415749	1.273807	62.000000	80.000000	
0.000947	1.287487	1.235278	72.000000	78.000000	
0.000946	1.285716	1.355550	72.000000	70.000000	
0.000944	1.192146	1.295204	77.000000	70.000000	
0.000943	1.171515	1.377769	76.000000	66.000000	
0.000941	1.220968	1.121898	73.000000	84.000000	
0.000940	1.210343	1.224685	80.000000	75.000000	
0.000938	1.282712	1.378615	72.000000	69.000000	
0.000937	1.142514	1.200914	74.000000	79.000000	
0.000935	1.114442	1.124849	78.000000	82.000000	
0.000934	1.254520	1.143747	72.000000	78.000000	
0.000932	1.286815	1.187909	73.000000	75.000000	
0.000930	1.214738	1.297603	72.000000	72.000000	
0.000929	1.256745	1.283832	71.000000	72.000000	
0.000927	1.195547	1.266052	75.000000	74.000000	
0.000926	1.198479	1.214216	75.000000	79.000000	
0.000924	1.268443	1.255592	67.000000	70.000000	
0.000922	1.162011	1.157787	71.000000	77.000000	
0.000920	1.352770	1.156334	66.000000	79.000000	
0.000919	1.130001	1.256013	72.000000	77.000000	
0.000917	1.115335	1.257700	79.000000	76.000000	
0.000915	1.136218	1.179540	74.000000	73.000000	
0.000914	1.114337	1.181241	77.000000	73.000000	
0.000912	1.202748	1.246425	73.000000	75.000000	
