Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.786913	0.760224	69.777779	79.000000	
0.001000	0.794302	0.753165	68.222221	79.000000	
0.001000	0.758328	0.746831	69.000000	79.000000	
0.000999	0.737983	0.740967	70.111115	79.000000	
0.000999	0.726614	0.734649	70.333336	79.000000	
0.000998	0.725851	0.728559	69.777779	79.000000	
0.000998	0.710949	0.710672	70.444443	80.000000	
0.000997	0.702801	0.694413	70.444443	81.000000	
0.000996	0.693417	0.687954	70.222221	81.000000	
0.000995	0.686722	0.680716	71.111115	81.000000	
0.000994	0.646512	0.674149	73.111115	81.000000	
0.000993	0.641137	0.666683	73.444443	81.000000	
0.000991	0.650982	0.660109	72.000000	81.000000	
0.000990	0.648238	0.654210	72.111115	81.000000	
0.000988	0.609437	0.637972	74.666664	82.000000	
0.000986	0.619179	0.631542	73.000000	82.000000	
0.000984	0.610745	0.604724	73.666664	84.000000	
0.000982	0.613603	0.598275	72.000000	84.000000	
0.000980	0.605854	0.591502	72.555557	84.000000	
0.000978	0.597193	0.564040	73.000000	86.000000	
0.000976	0.562840	0.555178	74.666664	86.000000	
0.000973	0.573113	0.546199	73.666664	86.000000	
0.000970	0.556116	0.538601	74.777779	86.000000	
0.000968	0.540163	0.532234	75.777779	86.000000	
0.000965	0.538667	0.524754	75.777779	86.000000	
0.000962	0.533124	0.529241	75.444443	85.000000	
0.000959	0.532587	0.521544	74.555557	85.000000	
0.000956	0.513256	0.516495	76.444443	85.000000	
0.000952	0.520834	0.511684	75.333336	85.000000	
0.000949	0.515497	0.516480	75.000000	84.000000	
0.000946	0.510370	0.502331	75.333336	85.000000	
0.000942	0.508253	0.498040	74.888885	85.000000	
0.000938	0.480910	0.494326	76.888885	85.000000	
0.000934	0.500768	0.500333	74.333336	84.000000	
0.000930	0.519669	0.494007	72.222221	84.000000	
0.000926	0.490025	0.500067	74.444443	83.000000	
0.000922	0.491753	0.493904	74.000000	83.000000	
0.000918	0.469000	0.489314	76.444443	83.000000	
0.000914	0.474174	0.475765	74.777779	84.000000	
0.000909	0.475642	0.470725	74.666664	84.000000	
0.000905	0.458961	0.450332	76.222221	86.000000	
0.000900	0.432599	0.425846	77.666664	88.000000	
0.000895	0.406379	0.421936	80.222221	88.000000	
0.000890	0.432558	0.421529	77.222221	88.000000	
0.000885	0.461644	0.441575	74.444443	85.000000	
0.000880	0.417174	0.456106	77.444443	83.000000	
0.000875	0.404922	0.427711	78.222221	85.000000	
0.000870	0.441778	0.425095	75.111115	85.000000	
0.000864	0.418116	0.434957	76.888885	84.000000	
0.000859	0.446472	0.442141	73.666664	83.000000	
0.000854	0.430130	0.446418	74.444443	82.000000	
0.000848	0.380954	0.359989	79.222221	90.000000	
0.000842	0.362974	0.396983	81.111115	86.000000	
0.000837	0.418428	0.431932	75.222221	82.000000	
0.000831	0.400073	0.472090	76.333336	77.000000	
0.000825	0.400534	0.346875	75.888885	89.000000	
0.000819	0.435397	0.309606	72.333336	92.000000	
0.000813	0.366535	0.368667	78.333336	86.000000	
0.000806	0.355539	0.317787	79.111115	91.000000	
0.000800	0.359867	0.359420	78.555557	86.000000	
0.000794	0.295266	0.473739	84.444443	76.000000	
0.000788	0.295802	0.339887	84.111115	89.000000	
0.000781	0.282391	0.363181	85.333336	87.000000	
0.000775	0.269930	0.326154	86.444443	88.000000	
0.000768	0.273320	0.303578	85.666664	90.000000	
0.000761	0.263917	0.334127	86.333336	87.000000	
0.000755	0.252248	0.323397	87.333336	88.000000	
0.000748	0.269748	0.302267	85.666664	90.000000	
0.000741	0.256418	0.342553	86.444443	86.000000	
0.000734	0.260711	0.299826	85.777779	90.000000	
0.000727	0.265776	0.313259	85.222221	90.000000	
0.000720	0.243311	0.377431	87.222221	83.000000	
0.000713	0.264103	0.363690	85.111115	84.000000	
0.000706	0.237477	0.313181	87.555557	89.000000	
0.000699	0.258701	0.295048	85.222221	89.000000	
0.000691	0.241473	0.294277	86.666664	90.000000	
0.000684	0.241900	0.299846	86.555557	90.000000	
0.000677	0.222276	0.337748	88.333336	86.000000	
0.000669	0.241984	0.305769	86.333336	89.000000	
0.000662	0.225345	0.323395	87.888885	87.000000	
0.000655	0.243907	0.320110	85.888885	87.000000	
0.000647	0.233755	0.309302	86.777779	88.000000	
0.000640	0.223719	0.285253	87.777779	90.000000	
0.000632	0.235512	0.315934	86.444443	87.000000	
0.000624	0.248446	0.304505	85.111115	88.000000	
0.000617	0.232167	0.323079	86.666664	86.000000	
0.000609	0.228567	0.311380	86.777779	87.000000	
0.000601	0.229245	0.319519	86.777779	86.000000	
0.000594	0.222952	0.308069	87.111115	87.000000	
0.000586	0.228051	0.285865	86.888885	88.000000	
0.000578	0.233403	0.306332	86.111115	86.000000	
0.000570	0.249987	0.294361	84.555557	88.000000	
0.000563	0.235933	0.322989	85.777779	85.000000	
0.000555	0.248126	0.301450	84.555557	87.000000	
0.000547	0.235875	0.320444	85.666664	85.000000	
0.000539	0.222209	0.309114	87.000000	86.000000	
0.000531	0.243357	0.307850	84.888885	86.000000	
0.000524	0.223462	0.296843	86.777779	87.000000	
0.000516	0.235203	0.315934	85.444443	85.000000	
0.000508	0.222491	0.294909	86.666664	87.000000	
0.000500	0.218788	0.293986	86.888885	87.000000	
0.000492	0.247789	0.300120	84.222221	86.000000	
0.000484	0.244485	0.272378	84.333336	89.000000	
0.000476	0.245345	0.301406	84.111115	86.000000	
0.000469	0.212608	0.260256	87.333336	90.000000	
0.000461	0.230044	0.279387	85.555557	88.000000	
0.000453	0.230996	0.288972	85.666664	87.000000	
0.000445	0.234676	0.287727	85.000000	87.000000	
0.000437	0.250225	0.277046	83.333336	88.000000	
0.000430	0.219242	0.276380	86.444443	88.000000	
0.000422	0.231348	0.275621	85.333336	88.000000	
0.000414	0.220463	0.274828	86.444443	88.000000	
0.000406	0.220570	0.274314	86.333336	88.000000	
0.000399	0.246761	0.293638	84.111115	86.000000	
0.000391	0.222399	0.283368	86.111115	87.000000	
0.000383	0.203622	0.262925	87.777779	89.000000	
0.000376	0.239378	0.272420	84.444443	88.000000	
0.000368	0.250254	0.261873	83.555557	89.000000	
0.000361	0.203872	0.261551	87.666664	89.000000	
0.000353	0.236487	0.271024	84.666664	88.000000	
