Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	1.077859	1.058674	42.000000	68.000000	
0.000100	1.090340	1.044716	39.000000	56.000000	
0.000100	1.106182	1.045838	28.000000	51.000000	
0.000100	1.099877	1.043954	37.000000	59.000000	
0.000100	1.074621	1.058779	40.000000	45.000000	
0.000100	1.062022	1.071343	45.000000	52.000000	
0.000100	1.053844	1.049568	46.000000	45.000000	
0.000100	1.049117	1.041368	46.000000	51.000000	
0.000100	1.065004	1.034830	44.000000	51.000000	
0.000100	1.032091	1.057176	48.000000	48.000000	
0.000100	1.080331	1.045258	41.000000	44.000000	
0.000100	1.056788	1.065844	40.000000	43.000000	
0.000100	1.065093	1.060574	44.000000	47.000000	
0.000100	1.027468	1.049235	53.000000	52.000000	
0.000100	1.017157	1.021306	46.000000	55.000000	
0.000100	1.055168	1.036135	48.000000	52.000000	
0.000100	1.046579	1.024832	43.000000	49.000000	
0.000100	1.071661	1.051890	42.000000	48.000000	
0.000100	1.031709	1.063479	57.000000	41.000000	
0.000100	1.022527	1.034274	47.000000	50.000000	
0.000100	1.065346	1.008787	48.000000	55.000000	
0.000100	1.060365	1.033481	45.000000	51.000000	
0.000100	1.034854	1.033106	44.000000	51.000000	
0.000099	1.045665	1.022067	49.000000	54.000000	
0.000099	1.032831	0.993840	48.000000	58.000000	
0.000099	1.046142	0.977812	47.000000	56.000000	
0.000099	1.043433	0.969850	48.000000	63.000000	
0.000099	1.015407	0.977219	52.000000	58.000000	
0.000099	1.056869	1.029870	48.000000	46.000000	
0.000099	1.074991	1.008089	46.000000	57.000000	
0.000099	1.030893	1.014465	48.000000	60.000000	
0.000099	0.996440	1.022896	57.000000	54.000000	
0.000099	1.027825	1.025657	49.000000	52.000000	
0.000099	1.002876	1.009026	56.000000	52.000000	
0.000099	0.974900	0.997691	58.000000	54.000000	
0.000099	1.048438	0.971488	46.000000	58.000000	
0.000099	0.981895	0.988997	60.000000	62.000000	
0.000099	1.020815	1.021514	50.000000	47.000000	
0.000099	1.025584	1.001989	46.000000	61.000000	
0.000099	1.052971	1.015973	42.000000	60.000000	
0.000098	1.057602	1.014829	47.000000	62.000000	
0.000098	1.046174	1.021045	46.000000	57.000000	
0.000098	1.024756	0.971596	49.000000	60.000000	
0.000098	1.008132	1.007024	54.000000	60.000000	
0.000098	1.009830	1.006889	49.000000	51.000000	
0.000098	1.023733	1.029611	50.000000	49.000000	
0.000098	1.028726	1.005132	50.000000	57.000000	
0.000098	1.036084	0.996234	50.000000	57.000000	
0.000098	1.034531	0.960699	53.000000	58.000000	
0.000098	1.000885	0.948999	57.000000	71.000000	
0.000098	1.027582	0.999563	48.000000	59.000000	
0.000097	1.042752	1.003268	43.000000	56.000000	
0.000097	1.030941	0.971372	48.000000	60.000000	
0.000097	1.026437	0.994546	50.000000	53.000000	
0.000097	0.975315	1.000360	56.000000	63.000000	
0.000097	1.007109	0.966765	53.000000	67.000000	
0.000097	0.985533	0.970581	59.000000	62.000000	
0.000097	0.994055	1.000260	50.000000	56.000000	
0.000097	0.999738	0.976320	57.000000	58.000000	
0.000097	1.001904	0.987695	50.000000	63.000000	
0.000096	0.981349	0.956236	56.000000	60.000000	
0.000096	0.993117	1.002534	50.000000	59.000000	
0.000096	1.013588	0.963037	50.000000	63.000000	
0.000096	1.004963	0.968525	44.000000	60.000000	
0.000096	1.021087	0.995231	51.000000	57.000000	
0.000096	1.009312	0.989535	56.000000	63.000000	
0.000096	1.004801	0.950273	50.000000	67.000000	
0.000096	0.996898	0.973299	56.000000	68.000000	
0.000096	0.985109	0.980222	59.000000	59.000000	
0.000095	1.038180	1.015767	55.000000	55.000000	
0.000095	1.005491	1.005082	57.000000	47.000000	
0.000095	0.983950	0.956470	52.000000	61.000000	
0.000095	0.965829	0.967965	60.000000	60.000000	
0.000095	0.989386	0.955031	53.000000	68.000000	
0.000095	0.994273	0.963974	52.000000	62.000000	
0.000095	1.009786	0.962943	55.000000	64.000000	
0.000094	0.969652	0.943838	58.000000	68.000000	
0.000094	1.007040	0.974577	54.000000	62.000000	
0.000094	0.979803	0.985004	62.000000	62.000000	
0.000094	0.979147	0.965126	50.000000	64.000000	
0.000094	0.993583	0.965010	49.000000	65.000000	
0.000094	1.019630	0.951205	53.000000	67.000000	
0.000094	0.924724	0.973235	64.000000	61.000000	
0.000093	0.956561	0.936031	62.000000	68.000000	
0.000093	0.964688	0.995578	64.000000	58.000000	
0.000093	0.981787	0.965440	56.000000	63.000000	
0.000093	0.999513	0.971144	53.000000	65.000000	
0.000093	0.996539	0.966400	54.000000	60.000000	
0.000093	0.980052	0.960323	57.000000	54.000000	
0.000092	1.013157	0.912974	52.000000	69.000000	
0.000092	0.966388	0.968907	56.000000	59.000000	
0.000092	0.958700	0.951273	62.000000	61.000000	
0.000092	0.984353	0.954337	52.000000	62.000000	
0.000092	0.944757	0.937266	59.000000	61.000000	
0.000092	0.919805	0.952752	66.000000	63.000000	
0.000091	0.950897	0.966534	57.000000	65.000000	
0.000091	0.970196	0.909259	57.000000	72.000000	
0.000091	0.993014	0.975456	49.000000	58.000000	
0.000091	0.964525	0.973998	57.000000	62.000000	
0.000091	0.960302	0.953568	58.000000	65.000000	
0.000090	0.941454	0.968545	63.000000	68.000000	
0.000090	0.916687	0.936828	66.000000	69.000000	
0.000090	0.959703	0.955813	60.000000	62.000000	
0.000090	0.966754	0.933527	62.000000	74.000000	
0.000090	0.924196	0.943988	68.000000	68.000000	
0.000090	0.963123	0.913770	58.000000	70.000000	
0.000089	0.971685	0.943445	58.000000	69.000000	
0.000089	0.940552	0.921700	64.000000	72.000000	
0.000089	0.979294	0.905180	58.000000	73.000000	
0.000089	0.929754	0.917492	63.000000	71.000000	
0.000089	0.937592	0.900147	66.000000	74.000000	
0.000088	0.930384	0.918478	63.000000	70.000000	
0.000088	0.938709	0.965158	64.000000	66.000000	
0.000088	0.913961	0.931885	65.000000	70.000000	
0.000088	0.915101	0.944442	68.000000	67.000000	
0.000088	0.922306	0.930077	66.000000	72.000000	
0.000087	0.960272	0.912253	59.000000	67.000000	
0.000087	0.933919	0.942735	64.000000	63.000000	
0.000087	0.937800	0.927750	63.000000	71.000000	
0.000087	0.973600	0.913759	57.000000	77.000000	
0.000086	0.915282	0.944629	67.000000	64.000000	
0.000086	0.941656	0.911657	63.000000	65.000000	
0.000086	0.915705	0.924558	67.000000	69.000000	
0.000086	0.957958	0.922435	55.000000	71.000000	
0.000086	0.940610	0.944046	63.000000	72.000000	
0.000085	0.955917	0.915011	63.000000	70.000000	
0.000085	0.938291	0.937503	65.000000	66.000000	
0.000085	0.926622	0.924547	63.000000	72.000000	
0.000085	0.954913	0.935100	63.000000	69.000000	
0.000084	0.907190	0.885041	69.000000	71.000000	
0.000084	0.958648	0.906056	62.000000	70.000000	
0.000084	0.955119	0.928308	65.000000	72.000000	
0.000084	0.932414	0.914394	61.000000	70.000000	
0.000084	0.908417	0.917636	69.000000	69.000000	
0.000083	0.893200	0.924830	69.000000	72.000000	
0.000083	0.913395	0.875805	64.000000	75.000000	
