Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	2.270647	2.298210	20.000000	10.000000	
0.001000	2.296324	2.305327	16.000000	17.000000	
0.001000	2.284842	2.264748	16.000000	20.000000	
0.001000	2.244183	2.281070	20.000000	17.000000	
0.001000	2.274535	2.276509	18.000000	14.000000	
0.001000	2.245647	2.253766	17.000000	19.000000	
0.001000	2.183109	2.267566	21.000000	20.000000	
0.001000	2.217755	2.271080	18.000000	16.000000	
0.000999	2.236434	2.181639	21.000000	25.000000	
0.000999	2.196045	2.208957	20.000000	20.000000	
0.000999	2.170973	2.214096	21.000000	21.000000	
0.000999	2.089787	2.146399	31.000000	21.000000	
0.000999	2.117871	2.184251	21.000000	20.000000	
0.000998	2.086780	2.186625	25.000000	19.000000	
0.000998	2.176920	2.134206	23.000000	25.000000	
0.000998	2.070625	2.022629	28.000000	32.000000	
0.000997	2.137832	2.090742	23.000000	33.000000	
0.000997	1.950664	2.079412	32.000000	34.000000	
0.000997	2.088417	2.081995	23.000000	29.000000	
0.000996	2.087956	2.094662	27.000000	26.000000	
0.000996	2.106928	2.113339	22.000000	26.000000	
0.000996	2.114984	1.962338	22.000000	36.000000	
0.000995	1.969221	2.057507	37.000000	28.000000	
0.000995	2.030437	2.034170	33.000000	33.000000	
0.000994	1.900077	2.069084	36.000000	31.000000	
0.000994	1.963212	1.971335	33.000000	42.000000	
0.000993	1.958429	1.971868	36.000000	36.000000	
0.000993	1.924910	1.971926	31.000000	36.000000	
0.000992	1.935296	2.037873	30.000000	31.000000	
0.000992	2.054088	1.975437	26.000000	36.000000	
0.000991	1.944263	1.999156	36.000000	31.000000	
0.000991	1.918086	1.947530	35.000000	34.000000	
0.000990	1.973050	1.933268	31.000000	37.000000	
0.000989	1.853313	1.866188	44.000000	38.000000	
0.000989	1.809068	1.934674	38.000000	40.000000	
0.000988	1.866995	1.873158	33.000000	39.000000	
0.000987	1.741168	1.771667	44.000000	41.000000	
0.000987	1.794885	1.810485	41.000000	40.000000	
0.000986	1.846447	1.769903	33.000000	44.000000	
0.000985	1.860844	1.745586	32.000000	45.000000	
0.000984	1.716825	1.793958	47.000000	40.000000	
0.000984	1.885431	1.751482	35.000000	48.000000	
0.000983	1.758163	1.697357	39.000000	47.000000	
0.000982	1.738469	1.765592	47.000000	46.000000	
0.000981	1.647127	1.629315	46.000000	50.000000	
0.000980	1.686404	1.701552	45.000000	44.000000	
0.000979	1.712925	1.651315	44.000000	48.000000	
0.000978	1.747743	1.698829	31.000000	47.000000	
0.000977	1.599999	1.603918	48.000000	46.000000	
0.000976	1.555803	1.714616	54.000000	44.000000	
0.000976	1.628229	1.520223	46.000000	52.000000	
0.000975	1.572673	1.593065	49.000000	47.000000	
0.000974	1.683257	1.616555	49.000000	46.000000	
0.000973	1.542304	1.588841	55.000000	44.000000	
0.000971	1.547702	1.579480	43.000000	50.000000	
0.000970	1.585577	1.600514	46.000000	51.000000	
0.000969	1.562099	1.401709	45.000000	66.000000	
0.000968	1.481423	1.472710	52.000000	54.000000	
0.000967	1.585944	1.522654	45.000000	53.000000	
0.000966	1.430978	1.483673	52.000000	55.000000	
0.000965	1.423187	1.413754	55.000000	61.000000	
0.000964	1.461780	1.454567	45.000000	61.000000	
0.000963	1.351620	1.469432	50.000000	52.000000	
0.000961	1.395768	1.412253	50.000000	56.000000	
0.000960	1.416298	1.511860	48.000000	50.000000	
0.000959	1.360857	1.423735	50.000000	59.000000	
0.000958	1.497131	1.446969	50.000000	51.000000	
0.000956	1.366917	1.399512	53.000000	51.000000	
0.000955	1.394101	1.331829	48.000000	59.000000	
0.000954	1.326641	1.324680	47.000000	54.000000	
0.000952	1.336783	1.315290	53.000000	61.000000	
0.000951	1.263837	1.274806	57.000000	60.000000	
0.000950	1.276615	1.389655	61.000000	48.000000	
0.000948	1.278937	1.404228	51.000000	54.000000	
0.000947	1.329268	1.179541	54.000000	61.000000	
0.000946	1.391121	1.314046	50.000000	55.000000	
0.000944	1.271559	1.298961	60.000000	58.000000	
0.000943	1.222326	1.224415	58.000000	62.000000	
0.000941	1.141289	1.364555	58.000000	50.000000	
0.000940	1.364269	1.428486	51.000000	49.000000	
0.000938	1.327612	1.286693	48.000000	59.000000	
0.000937	1.359258	1.398965	54.000000	51.000000	
0.000935	1.168860	1.239753	56.000000	54.000000	
0.000934	1.335496	1.421323	49.000000	45.000000	
0.000932	1.252010	1.404090	53.000000	50.000000	
0.000930	1.159982	1.250175	61.000000	60.000000	
0.000929	1.222564	1.361207	56.000000	53.000000	
0.000927	1.172245	1.221795	55.000000	55.000000	
0.000926	1.281459	1.095083	50.000000	58.000000	
0.000924	1.297837	1.316110	56.000000	55.000000	
0.000922	1.197163	1.190790	55.000000	62.000000	
0.000920	1.352164	1.233475	54.000000	53.000000	
0.000919	1.222229	1.245971	61.000000	60.000000	
0.000917	1.232619	1.168246	53.000000	63.000000	
0.000915	1.201377	1.126359	59.000000	68.000000	
0.000914	1.148509	1.210360	56.000000	61.000000	
0.000912	1.096377	1.144947	58.000000	58.000000	
0.000910	1.146358	1.300670	51.000000	48.000000	
0.000908	1.186320	1.184567	51.000000	60.000000	
0.000906	1.148557	1.125287	53.000000	60.000000	
0.000905	1.268215	1.105190	50.000000	68.000000	
0.000903	1.261832	1.193555	52.000000	55.000000	
0.000901	1.151827	1.187764	55.000000	56.000000	
0.000899	1.287595	1.156911	48.000000	58.000000	
0.000897	1.301460	1.228505	48.000000	53.000000	
0.000895	1.064547	1.119810	60.000000	63.000000	
0.000893	1.241331	1.158938	51.000000	55.000000	
0.000891	1.238855	1.159480	52.000000	56.000000	
0.000889	1.276359	1.173826	48.000000	54.000000	
0.000887	1.197537	1.205375	53.000000	59.000000	
0.000885	1.230824	1.224276	48.000000	54.000000	
0.000883	1.125077	1.287240	60.000000	49.000000	
0.000881	1.233580	1.078435	52.000000	57.000000	
0.000879	1.080736	1.048561	48.000000	64.000000	
0.000877	1.265372	1.060233	50.000000	67.000000	
0.000875	1.202554	1.121033	46.000000	61.000000	
0.000873	1.160897	1.143859	51.000000	62.000000	
0.000871	1.125175	1.098195	63.000000	57.000000	
0.000869	1.050178	1.085920	61.000000	58.000000	
0.000867	1.073775	1.165609	63.000000	53.000000	
0.000864	1.371117	1.269371	49.000000	45.000000	
0.000862	1.120915	1.244923	60.000000	57.000000	
0.000860	1.233575	1.205677	51.000000	55.000000	
0.000858	1.066524	1.157509	59.000000	54.000000	
0.000856	1.205833	1.044887	49.000000	60.000000	
0.000854	1.131547	1.039148	53.000000	63.000000	
0.000851	1.304179	1.157968	47.000000	63.000000	
0.000849	1.078614	1.107451	54.000000	56.000000	
0.000847	1.257514	1.227159	50.000000	52.000000	
0.000845	1.220486	1.134060	55.000000	62.000000	
0.000842	1.293576	1.070956	42.000000	60.000000	
0.000840	1.117036	1.166693	54.000000	54.000000	
0.000838	1.209673	1.134499	53.000000	62.000000	
0.000835	1.231717	1.126674	49.000000	63.000000	
0.000833	1.046625	1.103082	61.000000	60.000000	
0.000831	1.151920	1.130361	50.000000	62.000000	
0.000828	1.155099	1.121348	51.000000	55.000000	
0.000826	1.002273	1.134974	64.000000	57.000000	
0.000824	1.114335	1.200238	54.000000	56.000000	
0.000821	1.161113	1.019215	57.000000	64.000000	
0.000819	1.086286	1.050216	56.000000	62.000000	
0.000816	1.246485	0.949752	51.000000	63.000000	
0.000814	1.286354	1.081305	53.000000	54.000000	
0.000811	1.015041	1.099339	62.000000	55.000000	
0.000809	1.043805	1.064167	62.000000	58.000000	
0.000806	1.036555	1.056951	58.000000	61.000000	
0.000804	1.133660	1.006646	59.000000	60.000000	
0.000801	1.021923	1.087856	59.000000	61.000000	
0.000799	1.072937	1.042421	59.000000	61.000000	
0.000796	1.006684	1.078308	62.000000	63.000000	
0.000794	1.259573	1.078483	47.000000	59.000000	
0.000791	1.215024	1.142765	50.000000	57.000000	
0.000789	1.217198	1.138522	50.000000	57.000000	
0.000786	0.984508	1.076197	62.000000	63.000000	
0.000784	1.096402	1.101954	60.000000	52.000000	
0.000781	1.163864	1.193245	53.000000	51.000000	
0.000778	1.067179	1.048124	53.000000	62.000000	
0.000776	1.126481	1.059298	57.000000	60.000000	
0.000773	1.053265	0.965900	55.000000	66.000000	
0.000771	0.898972	1.020911	68.000000	55.000000	
