Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.977204	1.025478	55.666668	57.000000	
0.000976	1.001622	1.026792	51.777779	56.000000	
0.000905	0.960894	1.010896	54.111111	57.000000	
0.000794	0.966127	0.993513	52.888889	58.000000	
0.000655	0.940400	0.988128	54.888889	58.000000	
0.000500	0.924309	0.984766	54.777779	58.000000	
0.000346	0.904474	0.980747	57.888889	58.000000	
0.000206	0.951565	0.978723	53.333332	58.000000	
0.000096	0.875809	0.977704	59.222221	58.000000	
0.000025	0.929157	0.977423	55.666668	58.000000	
