Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	0.921683	1.021571	62.555557	63.000000	
0.000976	0.924548	1.031499	61.777779	61.000000	
0.000905	0.919367	1.011914	61.222221	62.000000	
0.000794	0.881853	1.003942	63.777779	62.000000	
0.000655	0.859886	1.017137	65.555557	60.000004	
0.000500	0.855935	1.012347	65.222221	60.000004	
0.000346	0.890944	1.038957	61.666668	57.000000	
0.000206	0.871821	1.037007	63.000000	57.000000	
0.000096	0.887295	1.036017	61.555557	57.000000	
0.000025	0.848194	1.035775	65.444443	57.000000	
